Tagalog,Translation
sala,ang
babanggitin,magasilot
gumagamit,magasilot
naroroon,sa
binasbasan,ang
humaba,sing
igalang,sing
mangangalunya,magpanginlalaki
magnanakaw,sa
sinungaling,sing
saksi,sing
iimbutin,sa
kidlat,sa
umuusok,sa
masaksihan,sa
pagsalitain,sa
magkasala,sa
subukin,sa
idolo,diin
altar,diin
nakipag,sa
iaagapay,kaupod
dambanang,sa
pangkapayapaan,sa
pagpapalain,ang
ipapaalala,sa
nilapastangan,sa
itatayo,sa
igagawa,nga
tapyas,sa
patalim,sang
gamitin,sa
baytang,mabihangan
kahubaran,nga
igagawad,amo
pananagutan,sa
bumili,sa
maglilingkod,sa
ikapito,hebreo
malaya,sa
amo,sang
nagkaanak,ang
maliwanag,mahilway
mahal,kon
pambutas,sa
habambuhay,sa
tainga,ang
bubutasan,sa
ipagbili,ang
kinalugdan,amo
umangkin,amo
ipapatubos,amo
karapatang,sa
pinakitunguhan,amo
malayang,bilang
papakitunguhan,sa
karapatan,sa
babawasan,ang
bayad,sa
itinubos,sa
pananakit,sa
manakit,dapat
pagsalang,dapat
ipaglalaan,sa
sinasadya,sa
nakamatay,pero
naghulog,sa
pataksil,magpalapit
magbalak,magpalapit
magnakaw,dapat
matagpuan,ang
magmura,sa
away,ang
sinaktan,ang
naratay,ginlampusan
makalakad,makalakat
ligtas,makalakat
babayaran,sa
makabangon,makalakat
nasayang,makalakat
ipapagamot,makalakat
nanakit,ang
parusa,sa
parurusahan,kag
saktan,babayi
tumagal,ka
pinsalang,sa
magbabayad,sa
makasakit,bana
ipasiya,bana
pagbabayarin,bana
makunan,bana
anupa,ang
nagdadalang,sa
nakasakit,bana
ngipin,ang
pasò,nabagrasan
sugat,kag
hagupit,nabagrasan
papalayain,sa
mabulag,sa
matumbasan,sa
palalayain,sa
bungian,sa
suwagin,baka
naisumbong,baka
nanunuwag,baka
ikinulong,baka
atangan,bayaran
pantubos,sa
iniatang,bayaran
kahatulang,amo
siklong,ang
huhukay,nagkutkot
mahulog,nagkutkot
iwanang,nagkutkot
paghahatian,ang
bakang,nga
ipagbibili,ang
halaga,ang
manunuwag,sa
limang,nga
maisauli,sa
pagnanakaw,sa
pagsasauli,sa
mahuling,akto
nakapatay,akto
ikinamatay,akto
pumapasok,sa
sikatan,sa
ninakaw,sa
matagpuang,sa
magsasauli,ang
magpastol,sa
pinakamainam,sa
manginain,sa
pakawalan,sa
ubasan,ang
tinik,sa
uhay,nga
masunog,sa
mandala,sa
nagpaningas,sa
magningas,sa
magpatago,kaingod
pinakialaman,sa
ipakita,sa
pagsuway,sa
magsabi,ila
hinuli,kaingod
nasaktan,kaingod
nakakakitang,kaingod
maghabilin,kaingod
pagsumpa,sa
sumpa,sa
mamamagitan,sa
tatanggapin,sa
isasauli,sa
nilapa,ang
katibayan,ang
kaharap,sa
humiram,kaingod
inupahan,sa
upa,ang
sari,sa
saring,sa
sipingan,sa
akitin,sa
gagawing,ang
naipagkakasundong,sa
dalaga,sa
dote,sa
tumutol,amo
katumbas,sa
ibigay,sa
mangkukulam,ang
sumiping,nga
alinmang,nga
aapihin,kamo
pahihirapan,sa
balo,kag
ulila,ang
aalab,sa
poot,sa
magpautang,sa
kaninuman,sa
dukhang,sa
tubo,sa
papatungan,sa
tagapagpautang,sa
sangla,sa
katawan,sa
pantakip,sa
ipapantulog,amo
mahabagin,amo
saplot,amo
lalaitin,sa
lalapastanganin,sa
ani,sa
ipagpapaliban,sa
pisaan,sa
umagos,sa
ikawalong,sa
mababangis,sa
balita,sa
hangarin,magbulig
makikipagkapit,magbulig
magkakalat,magbulig
saksing,magbulig
patotoo,sa
katarungan,sa
baluktutin,sa
kumakampi,sa
papanigan,ila
ring,ang
dukha,ang
nakawala,sa
ibabalik,sa
buhatin,sa
nakalugmok,sa
iiwan,sa
pasan,nga
tulungan,sa
babaluktutin,ila
katarungang,ila
maling,mag
layuan,mag
paratang,mag
bumubulag,inosente
sinisira,inosente
tatanggap,sa
hahasikan,sa
aanihin,kag
taniman,amo
olibo,sa
pagpahingahin,amo
hayaang,sa
tiwangwang,amo
magpapahinga,sa
makapagpahinga,sa
banggitin,sa
magdiriwang,sa
beses,sa
pagpapagal,sauluga
aani,sang
inaani,sauluga
inihasik,sauluga
ulit,ka
haharap,sa
kasabay,kaupod
taba,sang
pangakong,sa
pagpasok,sa
pinakauna,sa
isinusugo,ginpreparar
patatawarin,sa
dinggin,sa
maghimagsik,sa
kalaban,sa
wawasakin,sa
dudurugin,handumanan
lulubusin,sing
baog,as
makukunan,sing
paroroonan,pasalasalahon
lilituhin,pasalasalahon
patatalikurin,pasalasalahon
putakti,canaanhon
magpapalayas,canaanhon
magsidami,amo
papalayasin,nga
manahin,ko
unti,ko
nananahan,amo
eufrates,amo
makikipagtipan,sa
diyus,mga
diyosan,mga
manirahan,sa
pitumpu,ka
isinulat,sa
kabataang,sa
kalahati,ang
iwinisik,sa
binasa,ginbasa
masunurin,ginbasa
tuntungan,sa
kaliwanagan,sa
zafiro,sa
ipinatong,ang
maituro,pagpanudlo
maghintay,sa
hintayin,ila
magdala,sa
tanggapin,nga
nagkukusang,amo
tanso,nga
hinabing,nga
kulay,sang
balahibo,sa
lanang,pula
ube,granate
asul,sang
kinulayan,ginlugom
balat,sang
akasya,akasya
mabangong,nga
langis,nga
pampabango,nga
ilawan,sang
pampahid,nga
insenso,insenso
efod,nga
pektoral,sa
onix,onix
igawa,sa
makapanirahan,diin
kaban,ang
anyong,sa
huwaran,sa
kasangkapan,ang
ipinakita,imo
tabernakulo,tolda
haba,ka
luwang,ang
siko,ang
taas,kataason
kabang,kataason
babalutin,sang
lantay,sa
moldeng,puro
argolya,sulosingsing
bubuo,sa
argolyang,sa
tagiliran,sang
pasanang,nga
pasanan,sang
mabuhat,sa
isusuot,ang
awa,sang
luklukan,sang
kerubin,nga
pagpitpit,dapat
dulo,nga
tabing,ang
sampung,ka
pagkakaburda,sa
magkakapareho,kada
sukat,kada
dalawampu,ka
walong,ka
pagkakabit,sa
kabitin,sa
silo,ka
pangkat,ang
gilid,sang
magkakatapat,nagaatubangay
limampung,ka
kawit,it
pagkakabitin,nga
labing,ka
ititiklop,amo
ikakabit,ka
nalalabi,sa
bahaging,sa
ilalaylay,sa
takpan,sa
tabla,sa
biga,nga
patayong,nga
mitsa,sa
dalawampung,nga
timog,sa
ukol,sa
nitong,nga
patungang,sa
patungan,sa
hilaga,sang
kanluran,sang
sulok,sa
magkahiwalay,sa
magkarugtong,sa
gitnang,nga
kakabitan,amo
gagamitan,amo
planong,sa
nakapatong,sa
isasabit,sa
balot,sa
kabanal,sa
paghihiwalayin,sa
banalan,sa
ipapasok,ang
hapag,ang
telang,nga
mambuburda,sa
parisukat,ang
sungay,sa
kakabit,sa
pala,sa
kasangkapa,sa
pantusok,sa
lambat,sa
nilambat,parilyahan
parilyang,parilyahan
tila,parilyahan
kalahatian,ibabaw
malagay,sang
binubuhat,sa
guwang,guhab
bulwagan,ang
baras,sa
sabitan,amo
isandaang,sang
labinlimang,ang
tela,sa
tulos,ang
palaging,sa
dalisay,ang
binayong,sa
iuutos,ang
sindi,sa
toldang,sa
aayusin,mga
tipanan,sa
hapon,sa
ilapit,sa
kagandahan,para
pagkapari,sa
kasanayan,sa
pinagkalooban,sa
pamigkis,nga
tunika,ang
turbante,sa
balabal,nga
kasuotang,ang
guhit,ang
tinahing,amo
gagamit,ila
bihasang,maayo
manggagawa,nga
nakakabit,sa
magkadugtong,sa
pambalikat,sa
ibigkis,hilo
kagamitan,hilo
pagkagawa,sang
iuukit,nga
natitira,kag
kapanganakan,sa
ukit,sa
pantatak,sa
kukulungin,nga
uukit,nga
enggasteng,nga
mang,nga
papasanin,sa
tanikalang,sa
pinilipit,bulobulsa
nilubid,bulobulsa
lubid,ang
enggaste,sa
tanikala,sa
dangkal,bulobulsa
nakatiklop,bulobulsa
maglalagay,ang
topacio,kubay
hanay,sa
sardio,kubay
karbungko,kubay
esmeralda,kubay
diamante,kubay
ametista,ikatatlo
jacinto,ikatatlo
agata,ikatatlo
gintong,bulawan
pawang,sa
nakalagay,sa
berilo,jasper
jaspe,jasper
singsing,sang
kabaligtaran,sa
laylayan,sa
dugtungan,pa
makalag,sa
taling,sa
mamalagi,sa
itatali,sa
palagi,sa
dadalhing,sa
urim,sa
tumim,sa
purong,puro
mapunit,nga
tupi,dapat
suotan,nga
butas,nga
guyang,sa
toro,sa
harinang,maayo
hinaluan,maayo
bibingkang,manipis
maninipis,manipis
bakol,sa
isisilid,sa
huhugasan,ang
bibigkisan,sa
mainam,sa
korona,sa
pambuhos,kag
bubuhusan,kag
susuotan,anak
mapapasakanila,pari
panghabam,pari
itatalaga,ang
bituka,kuhaa
atay,ang
pangkasalanan,sa
dumi,sa
iwiwisik,sa
piraso,ang
hita,nga
pagpuputul,kag
putulin,kag
samyo,sa
hinlalaki,sa
itinatalaga,amo
tabang,ang
matabang,sa
iwinawagayway,sa
iwawagayway,sa
pinaraan,sa
karagdagan,ila
hitang,sa
pagkamatay,nga
buhusan,ila
kapalit,ang
ilaga,kuhaa
ipinantubos,ila
pakabanalin,sa
nalabi,nga
iginagawa,sa
maitalaga,sa
katubusan,sa
gagawan,sa
pakakabanalin,sa
iisang,ang
tig,edad
alak,sa
inumin,sa
hinalo,sa
hin,sa
halong,imo
butil,nga
pagsusunugan,magpahimo
kaisang,sa
molde,sa
kakatagpuin,ibutang
inaayos,nga
mababangong,sa
ilaw,suga
insensong,sa
sinisindihan,sa
magbubuhos,regalo
pagtubos,sa
tutubos,ang
minsan,sa
magsasagawa,magahalin
binibilang,ila
siklo,ang
gera,sa
kalahating,ang
mapapasama,sa
mapasama,amo
pataas,sa
mayaman,ang
ipantubos,ang
nagbibigay,indi
kaluluwa,sa
salaping,sa
pinakaalaala,ang
ilalaan,ila
palangganang,sa
paghugasan,sa
sisidlan,sa
maghuhugas,dapat
bezaleel,bezalel
katalinuhan,sa
espiritu,sa
pinuspos,sa
disenyo,sa
magdibuho,butang
magagandang,sa
umukit,sa
nililok,sa
nagbigay,nga
ahisamac,sa
itinalagang,ginsugo
aholiab,sa
magawa,ginsugo
kakayahang,sa
lababo,labador
makilala,sa
nagpapabanal,ako
lumapastangan,sa
nagtipon,sa
mangunguna,sa
nagtatagal,sa
pagpanaog,sa
hikaw,ila
guya,ang
panlilok,amo
hinulmang,amo
hinubog,amo
tinanggap,ang
kagamitang,sa
nagpahayag,sa
magkatuwaan,ila
agad,imo
nagpapakasama,sa
hinandugan,amo
lumihis,amo
sinamba,amo
madaling,sa
napakatigas,nagsiling
lipulin,sa
nagsumamo,sa
pinag,sa
iurong,ila
baguhin,ila
mabangis,nga
isip,sa
layunin,ila
kasamaang,sa
binhi,nga
sumumpa,nga
bituin,sa
mamanahin,nga
sinabing,ang
magkabilang,amo
nakasulat,amo
sulat,ang
nakaukit,ang
nagsisigawan,ni
ingay,moises
pagtatagumpay,kadalag
sigaw,nga
pagkatalo,kadalag
umaawit,kadalag
makalapit,sa
pagsasayawan,sa
ibinato,sa
binasag,sa
ipinainom,ila
sinunog,ginsunog
giniling,ila
pulbos,ila
dinalhan,sa
mahilig,kadali
pinarusahan,ila
namang,sa
kahihiyan,sa
nagwawala,ila
magwala,ila
paroo,ila
parito,sa
halos,ila
nabuwal,ila
mamamayan,sang
pagpapala,nga
marahil,sa
matutubos,nga
burahin,ila
patawarin,ila
gayunman,ang
pagpaparusa,ila
pangunahan,ila
yaong,ginsimba
inapo,sa
matigas,sa
pupuntang,sa
balitang,ila
masasamang,sang
tumangis,nagpangasubo
nagsuot,ila
palamuti,alahas
malilipol,sa
sandali,sa
hinubad,ila
magmula,ila
itayo,ang
kinaugalian,magpatindog
lumalabas,sa
pinanonood,ila
makapasok,sa
tumatayo,ila
bumababa,sa
tumitigil,sa
tumitindig,ila
sumasamba,ila
kabataan,sa
umaalis,sa
pakikipag,sa
bumabalik,sa
nun,sa
mukhaan,sa
kaibigan,sa
ipinakilala,ginpahibalo
nakikilala,sa
ituro,sa
bansang,sa
kapahingahan,sang
sasaiyo,sa
sasaakin,sa
paahunin,sa
naiiba,sa
lumalakad,nga
hinihiling,sa
ipahahayag,sa
kabutihan,sa
kaninumang,sa
habag,sa
magpapakita,ang
pagkalooban,sa
magkakaloob,sa
pararaanin,imitlang
kahabagan,sa
bitak,sa
dumaraan,sa
una,sa
isusulat,magbasbas
tumabas,sa
humarap,sa
nagdaan,sa
sagana,sa
mapagpala,sa
magagalitin,sa
puspos,sa
katapatan,sa
nagpapatawad,ila
iingat,ila
ituturing,ang
dinadalaw,ila
nagmadali,kag
itinungo,sa
idinadalangin,sa
babala,sa
mana,kag
ipahintulot,sa
kakilakilabot,sa
nakikipagtipan,sa
pinalalayas,sa
patutunguhan,sa
nakatira,nga
makipagtipan,sa
poste,handumanan
sisirain,ang
sagradong,handumanan
ibubuwal,handumanan
sasamba,sa
aanyaya,ila
naghahandog,halad
magpakasama,amo
asawahin,amo
papag,amo
pasusunurin,amo
pangako,sang
hinulma,dios
pagbubungkal,sa
sanlinggo,sauluga
palalakihin,sa
umaakyat,sa
pagnanasaan,sa
aalay,sa
pinakaunang,sa
nakipagtipan,amo
nagliwanag,sa
nagliliwanag,ang
talukbong,sa
pagkapagsalita,pagkatapos
makalabas,sa
inilalagay,ang
magpapaningas,mag
mapagbigay,maghalad
tupang,nga
pabango,nga
pumarito,sa
takip,sa
pasukan,sang
hugasan,ang
pangangasiwa,ang
pinakilos,sa
napukaw,sa
kalooban,sa
kusang,nga
pulseras,ang
samakatuwid,sa
aspile,gindala
magagamit,sa
nakapaghandog,bilang
naghabi,sa
hinabi,sa
nagpakilos,ila
kahusayan,nga
dibuho,butang
pagputol,sa
mahuhusay,sa
makapagturo,amo
kinasihan,amo
manghahabi,sa
tagakatha,sa
kumakatha,sa
tagaukit,sa
pagtatayo,sa
marurunong,sa
pusong,sa
nagdadala,ginsugo
gawaing,sa
pinigilan,sa
pagdadala,ila
nadala,ila
pulang,ang
kabit,sa
pinagkabit,sa
silong,ka
pinakadulong,mga
pinagdugtong,ang
pagkakadugtong,ka
pagdugtung,kaw
dugtungin,kaw
lambong,sang
nagdudugtong,diladila
iginawa,sa
magkakabit,sa
nauugnay,sa
bigang,sa
pakanluran,nakatundan
binalot,sang
daraanan,ang
naghulma,sa
kapitel,ila
pilete,ila
binalutan,nga
isinuot,ang
tinidor,sa
malalaking,sa
apuyan,sa
parilya,sa
salang,sa
paibaba,sa
umaabot,sa
naglilingkod,ang
hugasang,lagwerta
salamin,lagwerta
panali,sa
tatlo,sa
tiglalabinlimang,22
binurdahan,lagwerta
kasukat,lagwerta
nagamit,sa
kabuuan,ang
metal,sa
pangunguna,amo
alinsunod,amo
paring,nga
siyam,tuig
talento,tuig
ginamit,tuig
pagkayari,sa
pahaba,kaupod
pinukpok,kaupod
kawad,kaupod
pinutol,kaupod
pinanipis,kaupod
itahi,kaupod
kaputol,ginsugo
pinalibutan,sa
ayos,sa
natatakpan,jasper
pagkakakalupkop,jasper
tirintas,bulobulsa
pangkalupkop,sa
ikinabit,sa
pagkayaring,sa
matanggal,ginsugo
itinali,ang
panaling,ginsugo
tahi,may
pinakaleeg,may
granadang,it
palda,it
tatabingan,kasuguan
iaayos,ang
ibibitin,sa
pababanalin,sa
pagbubuhos,ila
itinayo,ang
saligan,amo
inilatag,ginsugo
pantabing,ginsugo
inayos,sa
kurtinang,ginsugo
tinabingan,ginsugo
sinindihan,ginsugo
nagsunog,mahamot
sinidlan,ginsudlan
nagsipaghugas,ila
naghuhugas,nagapanghinaw
iniayos,lagwerta
nagpapatuloy,ila
napapaitaas,ang
naglalakbay,gani
nilikha,sang
kumikilos,sa
anyo,nga
ibinukod,sa
paghiwalayin,magaseparar
kalawakan,sa
nagkakabinhi,sa
namumunga,sa
sibulan,ila
tanim,sa
sinibulan,sa
palatandaan,sa
ihiwalay,adlaw
tanglaw,sa
tumanglaw,kalibutan
maliit,nga
maghari,kamo
nayari,ila
natapos,sa
halamanan,sa
eden,sa
likhain,amo
kasaysayan,amo
nagpapaulan,sa
damo,nga
nagbubungkal,sa
kapatagan,sa
buhat,ang
dinilig,amo
hiningahan,ginoong
nilalang,ang
hininga,sa
pinatubo,ila
pagkaalam,ila
nakakalugod,ang
roo,amo
nahati,amo
diligin,amo
pishon,amo
havila,ang
umaagos,sa
bedelio,puro
doong,nga
cus,ang
gihon,amo
asiria,sa
tigris,ikatatlo
bungkalin,ginoong
pagkakilala,sa
katuwang,kaupod
nababagay,kaupod
ibon,nga
natutulog,ginoong
mahimbing,ang
pinaghilom,ginoong
tadyang,ginoong
pinatulog,ginoong
tatawaging,sa
wakas,sa
iniiwan,amo
nagiging,amo
pumipisan,amo
nahihiya,mahuya
hubad,hublas
tuso,amo
alinman,ang
mailap,sa
hihipuin,sa
mabubuksan,sa
kagaya,sa
nakakakilala,sa
matalino,nga
nasain,bana
pumitas,ang
dahon,ang
igos,dahon
parehong,sa
nagtahi,dahon
panakip,dahon
magkasama,sa
nabuksan,dahon
maghapon,nabatian
nagtago,nabatian
malamig,nabatian
dinaya,ako
naggawad,amo
tiyan,sa
isinumpa,ang
ipanggagapang,ginoong
dudurog,imo
sakong,ang
pagkapoot,imo
paglilihi,bana
pagnanais,bana
manganganak,ang
adan,nga
mabigat,sa
sumpain,sa
dawag,sa
sisibol,sa
pawis,amo
babalik,sa
diyan,sa
nabubuhay,ang
eva,sang
pinalayas,nga
dinamitan,sa
pinagkunan,amo
silanganan,ginoong
umiikot,ginoong
bantayan,ginoong
nagniningas,sa
nakilala,si
cain,cain
magbubungkal,ulihi
abel,nga
paglipas,sa
pinahalagahan,sa
nagngitngit,siya
madaig,imo
aabang,imo
sinabihan,sa
nasaan,nagpamangkot
aywan,nagpamangkot
tagapagbantay,nagpamangkot
ibinuka,imo
sinumpa,imo
pagala,sa
gala,sa
binungkal,sa
palaboy,sa
makakaya,sa
itinataboy,sa
maikukubli,sa
pumatay,nga
gagantihan,magpatay
nod,nagpalayo
enoc,enoc
metusael,mehuel
mehujael,mehuel
lamec,nga
irad,mehuel
ada,ada
zilla,zila
naninirahan,sa
jabal,amo
alpa,amo
jubal,amo
plauta,amo
tumutugtog,amo
bakal,ang
naama,sa
tubal,ang
panday,sa
binata,sa
pagsugat,sa
enos,ang
set,set
ipaghihiganti,ni
kahalili,dios
nagsimulang,sa
lalangin,ang
wangis,sa
isandaan,ka
nabuhay,ang
maipanganak,si
siyamnaraan,edad
kenan,sing
siyamnapung,nga
mahalalel,sing
animnapu,nga
jared,sing
siyamnapu,sa
matusalem,noe
pinili,ang
magaganda,matahom
laging,sa
bantog,sa
higante,sa
makipagtalik,sa
iisip,ila
napakasama,ila
haka,sa
nalungkot,pa
nalumbay,pa
gumagapang,sa
nalulungkot,sa
noe,noe
kapanahunan,sa
noong,sa
ham,ni
sem,ni
jafet,ni
karahasan,sa
pinasama,sa
ipinasiya,noe
lilipuling,sa
wakasan,noe
silid,sa
daong,sa
gofer,noe
sasakyan,ang
bintana,ang
palapag,butangi
baha,sa
magpapadagsa,malaglag
itatatag,sa
sasakay,barko
magsasakay,magpasulod
manatiling,nagalupad
magbaon,sa
imbakin,sa
lahing,noe
sumakay,noe
tigpipito,pito
malinis,nga
panatilihing,sa
magpapaulan,sa
umiwas,noe
humupa,ang
kinalimutan,noe
pinahihip,noe
napigil,ulan
natakpan,ulan
bumabaw,150
ararat,ika
sumadsad,ika
ikalabimpitong,ika
kalapati,ang
uwak,sang
paghupa,ika
nagpatuloy,sang
binuksan,sang
nagpalipad,ang
nagparoo,sa
natuyo,sa
madadapuan,noe
pinalipad,noe
naghintay,noe
tuka,dahon
gumabi,dahon
pitas,dahon
ikaanimnaraan,noe
gumagalaw,sa
naghandog,sa
sinamyo,sa
pagkabata,sa
masarap,nga
susumpain,sa
amoy,sa
taglamig,gab
paghahasik,ang
tag,gab
nananatili,ang
init,gab
hihinto,gab
magpakarami,sa
punuin,sa
luntiang,ginhatag
hihingan,magpatay
sulit,magpatay
hihingin,magpatay
umutang,magpatay
papadanakin,magpatay
magpadanak,magpatay
magbunga,sa
tiras,amo
madai,amo
magog,amo
gomer,ni
meshec,amo
javan,amo
askenaz,ni
rifat,ni
togarma,ni
dodanim,amo
elisha,amo
kittim,amo
tarsis,amo
pulo,amo
wika,ang
put,amo
mizraim,ang
raama,amo
dedan,amo
sabteca,amo
seba,si
sheba,sheba
sabta,amo
nimrod,sa
karaniwang,sang
mangangaso,sa
acad,amo
shinar,shinar
babel,ang
simula,ang
calne,amo
erec,amo
rehobot,rehobot
ir,cala
cale,cala
ninive,cala
resen,cala
ludim,amo
naphtuhim,amo
anamim,amo
lehabim,amo
patrusim,amo
pinagmulan,ginhalinan
caftoreo,amo
casluim,amo
sidon,sidon
het,hithanon
gergeseo,jebusnon
araceo,arkhanon
sineo,arkhanon
arvad,ni
hamateo,ni
kumalat,ang
zemareo,ni
zeboyin,sa
adma,sa
sodoma,sodom
gerar,sa
gomorra,gomora
gaza,ila
eber,si
matandang,amo
arfaxad,arfaxad
aram,aram
ashur,amo
elam,elam
lud,amo
hul,amo
geter,amo
uz,amo
shela,shela
peleg,ang
joktan,amo
almodad,joktan
mavet,joktan
hazar,joktan
jerah,joktan
shelef,joktan
dicla,dikla
uzal,dikla
hadoram,dikla
obal,obal
abimael,obal
jobab,amo
ofir,amo
sefar,sidlangan
mesha,sidlangan
magkakatulad,ginagamit
tumira,sa
semento,sa
lutuing,sa
tore,ang
magkawatak,ila
magtayo,ila
watak,ila
makakapigil,madugay
maunawaan,ila
guluhin,ila
ikinalat,sa
huminto,nga
ipinangalan,ang
ginulo,sa
limandaang,kabataan
reu,sing
serug,sing
nahor,nahor
terah,tera
labinsiyam,kabataan
haran,sa
abram,ang
lot,lot
ur,sa
amang,sa
caldeo,sa
tinubuan,sa
sarai,sarai
nagsipag,amo
milca,ni
iscah,amo
sama,sa
samang,kaupod
manugang,nga
magtungo,kaupod
dalawandaan,edad
kamag,sa
kitang,imo
susumpa,sa
sumama,sa
aaring,sa
nakuha,sa
punong,sa
shekem,shekem
ensina,sa
more,canaanhon
bethel,betel
lumipat,nakatundan
ai,sa
negeb,ila
nagkagutom,sa
taggutom,nga
hahayaan,egiptohanon
makaligtas,ila
mapabuti,ila
pinuri,gindala
pinagpakitaan,sarai
magandang,ang
pinahirapan,tungod
malubhang,tungod
napakayaman,ang
makayanan,ila
napakarami,ila
manirahang,ila
paghiwalay,ila
pagtatalo,ilinaway
magkapatid,kag
humiwalay,na
natanaw,sa
inilibot,sa
zoar,sa
jordan,sa
libis,sa
winasak,sa
gawi,sa
natutubigang,sa
naghiwalay,amo
inilipat,sa
makasalanan,ila
kinalalagyan,sa
tumanaw,sa
natatanaw,imo
mabibilang,ang
lakarin,sa
mamre,sa
elasar,shinar
kedorlaomer,kedorlaomer
arioc,shinar
goiim,shinar
tidal,shinar
amrafel,shinar
bela,bela
birsha,bela
shinab,bela
bera,bela
shemeber,bela
nakipagdigma,bela
nagsama,ila
siddim,ila
naghimagsik,sa
ikalabintatlong,sa
naglingkod,sa
zuzita,sa
astarot,sa
haring,sa
save,sa
carnaim,sa
refaim,refaimnon
emita,sa
kiryataim,sa
seir,seir
elparan,seir
kabundukan,sa
horeo,sa
kadesh,sa
tamar,sa
amalekita,sa
enmispat,sa
hazazon,sa
tumungo,sa
pakikidigma,ila
nahulog,ginakuhaan
hukay,ginakuhaan
gantimpala,sa
kalasag,sa
pangitain,sa
napakadakila,sa
tagapagmana,ang
damasco,amo
tumingala,gindala
bilangin,gindala
ganyan,sa
ibinilang,tungod
katuwiran,tungod
nagpaalis,sa
angkinin,sa
dumalagang,baka
inakay,ang
batu,nga
inihanay,gindala
hinati,sa
mandaragit,ni
bangkay,ang
ibong,sa
binugaw,ni
nakakatakot,sa
lulubog,sa
nakatulog,sa
apatnaraang,sa
hahatulan,sa
paglilingkuran,sa
payapang,sa
malilibing,kalinong
katandaan,sa
tutungo,kalinong
nalulubos,imo
salin,imo
madilim,kolon
hinating,kolon
hurnong,kolon
kenizeo,amo
kineo,amo
cadmoneo,amo
hagar,hagar
hinadlangan,sa
magkakaanak,sa
magkaanak,sa
paninirahan,sa
alila,si
paghamak,ni
mapasaiyo,sa
kandungan,sa
hinamak,sa
pinagmalupitan,amo
nanggaling,nagpamangkot
magbalik,sa
pasakop,sa
karamihan,indi
dalamhati,madugay
ismael,nga
talaga,sa
nakakakita,sa
nanatiling,ang
bered,amo
balong,sa
itinawag,ang
labis,sa
nagpatirapa,sa
pakikipagtipan,sa
magbubuhat,ila
magmumula,sa
tipang,sa
hanggan,sa
maselang,dapat
kainitan,sa
yumuko,sa
tumakbo,kag
lampasan,sa
kaunting,sa
maghugas,nga
magpahinga,nga
lilim,nga
makapagpalakas,sa
takal,sa
nagmadaling,sa
sara,sara
masahin,sa
bakahan,sa
malusog,sa
mantekilya,gindala
kumakain,sang
inihain,gindala
tamang,amo
nakikinig,amo
dinadatnan,tigulang
matanda,tigulang
lipas,tigulang
likas,tigulang
tumanda,bana
nagtawa,bana
kasiyahan,bana
kayang,kag
tumawa,ako
napakahirap,amo
nagkaila,sa
ihatid,sa
sinamahan,sa
ililihim,ko
maibigay,kabataan
tagubilinan,kabataan
napakalubha,sa
halimbawang,ang
mundo,ila
malayong,sa
pataying,ila
makatulad,ila
mangangahas,sa
magkukulang,bug
apatnapu,nga
sakaling,ang
matatagpuan,ang
magalit,ang
sanang,sa
makakatagpo,sa
nagtatakipsilim,ila
iniyukod,ila
pintuang,ila
magsibangon,sa
magpalipas,sa
lansangan,sa
tumuloy,sa
paglakad,sa
magpapalipas,sa
husto,sa
ipinagluto,sa
ipinaghanda,sa
nagsipasok,sa
pinilit,sa
pumalibot,sa
pinakahuling,tigulang
nagsihiga,tigulang
tinawagan,ila
isinara,sa
nakikiusap,sa
ganyang,sa
gawan,ang
nasipingan,ila
bubungan,ila
ipinagtulakan,ila
sirain,sa
nagsilapit,ang
sinarhan,ginsiradhan
binatak,ginsiradhan
binulag,sa
ritong,sa
kasamahan,sa
nagbibiro,ginkadtuan
gugunawin,ang
magsialis,ginkadtuan
kinausap,sang
akala,ginkadtuan
mapapangasawa,ginkadtuan
madamay,sa
nagtagal,gindala
lumingon,ang
mailabas,sa
kapahamakan,sa
abutan,sa
maliligtas,sa
matakasan,sa
pinapayagan,paglaglagon
sige,paglaglagon
binanggit,paglaglagon
pagkawasak,ang
magagawa,ang
magmadali,ang
sumikat,ni
asupre,nagadabdab
ginunaw,kapatagan
asin,asin
maagang,pa
kinatayuan,diin
tumataas,sa
tinirahan,sa
gunawin,sa
moabita,ang
ammonita,sa
papalabas,ang
yungib,sa
kaugalian,sa
bunso,ang
mapanatili,sa
mahiga,sa
kagabi,sa
nagdalang,ni
benammi,ang
ammon,ang
abimelec,sa
nagpasugo,sa
panaginip,nga
nakakasiping,abimelec
kawalang,sa
ipinahintulot,sa
galawin,sa
oo,sa
isauli,bana
tandaan,bana
ipapanalangin,bana
isinauli,sa
pagkatakot,sa
pupuntahan,sa
maipapakita,sa
gusto,sa
magpapawalang,imo
pirasong,sa
napawalang,imo
ganap,ang
tinuli,ni
makikitawa,sa
makarinig,sa
pinatawa,sa
magpapasuso,tigulang
magsasabi,ang
pagsuso,punsyon
handaan,siya
nagdaos,punsyon
inawat,punsyon
nakikipaglaro,ni
magmamana,sa
kahati,sa
palayasin,sa
magdamdam,magahalin
papangalanan,magahalin
beer,si
nagpagala,suludlan
inilapag,bata
maubos,sa
lalagyang,ila
mabababang,bata
banat,sa
pana,sa
umiiyak,sa
nagsisigaw,ang
upo,sa
kamatayan,indi
layo,sa
napaano,nabatian
alalayan,bata
ialay,sa
kaisa,imo
